iter	Passed	Remaining
0	142	142307
1	143	71730
2	144	48157
3	146	36401
4	147	29368
5	148	24677
6	150	21324
7	151	18809
8	153	16850
9	154	15286
10	155	13987
11	156	12905
12	157	11990
13	159	11220
14	160	10553
15	162	9975
16	163	9460
17	164	8999
18	166	8586
19	167	8217
20	168	7872
21	170	7561
22	171	7275
23	172	7016
24	173	6783
25	175	6563
26	176	6355
27	177	6161
28	178	5982
29	179	5814
30	181	5660
31	182	5516
32	183	5382
33	184	5252
34	186	5128
35	187	5014
36	188	4903
37	189	4804
38	190	4705
39	192	4610
40	193	4524
41	194	4444
42	196	4363
43	197	4285
44	198	4212
45	199	4145
46	201	4077
47	202	4012
48	203	3953
49	205	3896
50	206	3841
51	207	3786
52	208	3731
53	210	3679
54	211	3629
55	212	3583
56	213	3539
57	215	3494
58	216	3450
59	217	3407
60	218	3366
61	220	3329
62	221	3293
63	222	3257
64	223	3221
65	225	3185
66	226	3150
67	226	3110
68	228	3080
69	229	3050
70	230	3022
71	232	2994
72	233	2967
73	235	2940
74	236	2915
75	237	2891
76	239	2865
77	240	2838
78	241	2813
79	242	2788
80	243	2764
81	244	2740
82	245	2717
83	247	2694
84	247	2668
85	249	2648
86	249	2622
87	251	2603
88	252	2583
89	253	2564
90	254	2545
91	255	2526
92	257	2507
93	258	2489
94	259	2471
95	260	2453
96	261	2436
97	262	2419
98	264	2403
99	265	2387
100	266	2371
101	267	2351
102	268	2335
103	269	2320
104	270	2305
105	271	2290
106	272	2276
107	273	2262
108	275	2250
109	276	2238
110	278	2228
111	279	2217
112	280	2205
113	282	2193
114	283	2180
115	284	2166
116	285	2155
117	286	2144
118	287	2131
119	289	2119
120	290	2107
121	291	2096
122	292	2082
123	293	2071
124	294	2059
125	295	2048
126	296	2037
127	297	2024
128	298	2013
129	299	2003
130	300	1993
131	301	1983
132	302	1973
133	303	1963
134	304	1953
135	306	1944
136	307	1936
137	308	1926
138	309	1916
139	310	1908
140	311	1899
141	312	1890
142	313	1881
143	315	1872
144	316	1863
145	317	1855
146	318	1846
147	319	1838
148	320	1830
149	321	1822
150	322	1814
151	323	1807
152	325	1800
153	326	1794
154	327	1787
155	329	1781
156	330	1774
157	331	1767
158	332	1760
159	334	1754
160	335	1747
161	336	1740
162	337	1734
163	338	1727
164	339	1720
165	341	1713
166	342	1706
167	343	1700
168	344	1693
169	345	1686
170	347	1682
171	348	1677
172	349	1671
173	350	1665
174	352	1660
175	353	1655
176	354	1650
177	356	1645
178	357	1640
179	358	1634
180	359	1627
181	360	1622
182	362	1616
183	363	1610
184	364	1605
185	365	1599
186	366	1595
187	368	1589
188	369	1585
189	370	1580
190	372	1576
191	373	1571
192	374	1565
193	375	1560
194	376	1555
195	377	1549
196	378	1544
197	379	1539
198	381	1533
199	382	1528
200	383	1523
201	384	1518
202	385	1514
203	387	1510
204	388	1505
205	389	1501
206	390	1496
207	391	1491
208	392	1487
209	394	1482
210	395	1478
211	396	1473
212	397	1468
213	398	1464
214	400	1460
215	401	1457
216	402	1453
217	404	1449
218	405	1445
219	406	1440
220	407	1436
221	408	1433
222	410	1428
223	411	1425
224	412	1421
225	413	1417
226	414	1413
227	416	1408
228	417	1405
229	418	1401
230	420	1398
231	421	1394
232	422	1391
233	424	1388
234	425	1384
235	426	1381
236	427	1377
237	429	1374
238	430	1371
239	432	1369
240	433	1366
241	435	1363
242	436	1359
243	437	1356
244	439	1353
245	440	1350
246	442	1347
247	443	1343
248	444	1340
249	445	1337
250	446	1333
251	447	1329
252	449	1326
253	450	1323
254	451	1320
255	453	1317
256	454	1314
257	455	1310
258	457	1307
259	458	1303
260	459	1300
261	460	1297
262	462	1294
263	463	1291
264	464	1288
265	465	1285
266	467	1282
267	468	1279
268	469	1276
269	470	1273
270	472	1269
271	473	1266
272	474	1263
273	475	1260
274	476	1257
275	478	1254
276	479	1251
277	480	1248
278	482	1246
279	483	1243
280	484	1240
281	486	1238
282	487	1235
283	488	1232
284	490	1230
285	491	1227
286	492	1224
287	493	1221
288	495	1217
289	496	1214
290	497	1211
291	498	1208
292	499	1205
293	501	1203
294	502	1201
295	503	1198
296	505	1195
297	506	1192
298	507	1189
299	508	1187
300	509	1184
301	511	1181
302	512	1178
303	513	1175
304	514	1173
305	516	1170
306	517	1167
307	518	1165
308	519	1162
309	521	1159
310	522	1157
311	523	1154
312	525	1152
313	526	1149
314	527	1147
315	529	1145
316	530	1143
317	531	1140
318	532	1137
319	533	1134
320	535	1132
321	536	1129
322	537	1126
323	538	1124
324	539	1121
325	541	1119
326	542	1116
327	544	1114
328	545	1112
329	546	1110
330	548	1107
331	549	1104
332	550	1102
333	551	1100
334	553	1097
335	554	1095
336	555	1092
337	556	1090
338	558	1088
339	559	1086
340	560	1083
341	561	1081
342	563	1078
343	564	1076
344	565	1073
345	566	1071
346	568	1069
347	569	1067
348	571	1065
349	572	1062
350	573	1060
351	574	1057
352	575	1055
353	577	1053
354	578	1050
