iter	Passed	Remaining
0	148	148651
1	150	75093
2	151	50438
3	153	38118
4	154	30752
5	155	25825
6	157	22305
7	158	19660
8	159	17614
9	161	15975
10	163	14710
11	165	13604
12	166	12643
13	167	11821
14	169	11105
15	170	10483
16	171	9934
17	173	9443
18	174	8998
19	175	8601
20	178	8311
21	180	8002
22	181	7705
23	182	7428
24	183	7173
25	185	6939
26	186	6720
27	187	6516
28	188	6327
29	190	6150
30	193	6042
31	194	5898
32	196	5758
33	197	5622
34	199	5490
35	200	5367
36	201	5250
37	203	5140
38	204	5034
39	205	4937
40	207	4857
41	208	4766
42	210	4681
43	211	4601
44	213	4522
45	214	4446
46	215	4374
47	217	4306
48	219	4251
49	221	4200
50	222	4145
51	224	4084
52	225	4027
53	226	3970
54	227	3916
55	229	3864
56	230	3813
57	231	3763
58	233	3718
59	234	3671
60	235	3631
61	237	3590
62	238	3548
63	239	3506
64	240	3466
65	242	3427
66	243	3389
67	244	3354
68	246	3319
69	247	3285
70	248	3252
71	250	3224
72	251	3193
73	252	3162
74	254	3133
75	255	3104
76	256	3076
77	257	3047
78	259	3021
79	260	2995
80	261	2969
81	263	2944
82	263	2914
83	265	2893
84	266	2871
85	267	2848
86	269	2826
87	270	2804
88	271	2782
89	273	2761
90	274	2741
91	275	2721
92	277	2703
93	278	2683
94	279	2666
95	281	2648
96	282	2629
97	283	2612
98	285	2594
99	286	2576
100	287	2559
101	288	2542
102	290	2528
103	291	2512
104	293	2498
105	294	2482
106	295	2466
107	296	2452
108	298	2436
109	299	2421
110	300	2406
111	301	2391
112	302	2377
113	303	2362
114	305	2348
115	306	2333
116	307	2318
117	308	2304
118	309	2291
119	310	2278
120	311	2264
121	312	2250
122	313	2237
123	314	2224
124	316	2212
125	317	2201
126	318	2187
127	319	2176
128	320	2164
129	321	2152
130	322	2141
131	323	2130
132	325	2119
133	326	2108
134	327	2097
135	328	2086
136	329	2075
137	330	2066
138	332	2056
139	333	2047
140	334	2038
141	335	2026
142	336	2018
143	338	2010
144	339	2001
145	340	1992
146	341	1984
147	343	1976
148	344	1969
149	345	1960
150	347	1951
151	348	1943
152	349	1935
153	350	1927
154	352	1919
155	353	1911
156	354	1905
157	356	1897
158	357	1891
159	359	1885
160	359	1875
161	361	1868
162	362	1861
163	363	1854
164	364	1846
165	366	1839
166	367	1833
167	370	1835
168	372	1832
169	374	1827
170	375	1822
171	377	1818
172	379	1813
173	380	1807
174	382	1801
175	384	1798
176	386	1795
177	387	1790
178	389	1784
179	390	1780
180	392	1775
181	393	1769
182	395	1763
183	396	1758
184	398	1753
185	399	1748
186	401	1744
187	402	1740
188	404	1735
189	405	1729
190	406	1723
191	408	1720
192	410	1716
193	411	1711
194	413	1708
195	415	1704
196	417	1700
197	418	1696
198	420	1691
199	421	1685
200	422	1680
201	424	1676
202	425	1671
203	427	1666
204	428	1661
205	430	1659
206	432	1657
207	434	1652
208	435	1648
209	436	1643
210	438	1638
211	439	1633
212	440	1628
213	442	1623
214	443	1619
215	445	1615
216	446	1610
217	447	1605
218	448	1600
219	450	1595
220	451	1590
221	452	1585
222	453	1580
223	454	1575
224	455	1570
225	457	1565
226	458	1561
227	459	1557
228	461	1552
229	462	1548
230	463	1543
231	464	1539
232	466	1534
233	467	1530
234	468	1526
235	469	1521
236	471	1517
237	472	1513
238	473	1508
239	475	1504
240	476	1500
241	477	1496
242	478	1492
243	480	1487
244	481	1484
245	482	1479
246	483	1475
247	485	1471
248	486	1467
249	487	1463
250	489	1459
251	490	1456
252	491	1452
253	493	1448
254	494	1444
255	495	1441
256	497	1437
257	498	1433
258	499	1429
259	501	1425
260	502	1422
261	503	1418
262	504	1414
263	506	1410
264	507	1406
265	508	1403
266	509	1399
267	510	1395
268	512	1391
269	513	1387
270	514	1383
271	515	1380
272	516	1376
273	518	1372
274	519	1369
275	520	1365
276	521	1362
277	522	1358
278	524	1354
279	525	1351
280	527	1348
281	528	1345
282	529	1341
283	530	1338
284	531	1334
285	533	1331
286	534	1327
287	535	1324
288	536	1320
289	538	1317
290	539	1314
291	540	1311
292	542	1308
293	543	1305
294	544	1302
295	546	1298
296	547	1296
297	549	1293
298	550	1290
299	551	1287
300	553	1284
301	554	1281
302	555	1278
303	557	1275
304	558	1272
305	559	1269
306	560	1266
307	562	1263
308	563	1260
309	564	1256
310	565	1253
311	567	1250
312	568	1247
313	569	1244
314	570	1241
315	572	1238
316	573	1235
317	574	1232
318	575	1229
319	577	1226
320	578	1223
321	579	1220
322	580	1217
323	582	1214
324	583	1211
325	584	1208
326	586	1206
327	587	1203
328	588	1200
329	589	1197
330	591	1194
331	592	1192
332	593	1189
333	595	1186
334	596	1184
335	597	1181
336	598	1178
337	600	1175
338	601	1172
339	602	1170
340	604	1167
341	605	1164
342	606	1162
343	608	1159
344	609	1156
345	610	1154
346	611	1151
347	612	1148
348	614	1145
349	615	1142
350	616	1139
351	617	1137
352	619	1134
353	620	1131
354	621	1129
355	622	1126
356	624	1124
357	625	1121
358	626	1118
359	627	1116
360	629	1113
361	630	1111
362	631	1108
363	632	1105
364	633	1102
365	635	1100
366	636	1098
367	638	1096
368	639	1093
369	640	1090
370	641	1087
371	642	1085
372	644	1083
373	645	1080
374	647	1078
375	648	1075
376	649	1073
377	650	1070
378	652	1068
379	653	1066
380	654	1063
381	656	1061
382	657	1059
383	658	1056
384	659	1054
385	661	1051
386	662	1049
387	664	1047
388	665	1045
389	667	1043
390	668	1041
391	669	1039
392	671	1036
393	672	1034
394	673	1032
395	674	1029
396	676	1026
397	677	1025
398	679	1023
399	680	1020
400	681	1018
401	683	1017
402	685	1014
403	686	1012
404	687	1010
405	688	1007
406	690	1005
407	691	1003
408	692	1000
409	693	998
410	695	996
411	696	994
412	698	992
413	699	990
414	701	989
415	703	987
416	704	985
417	705	982
418	707	981
419	709	979
420	710	976
421	711	974
422	713	972
423	714	970
424	715	968
425	717	966
426	718	964
427	719	962
428	721	960
429	722	958
430	724	956
431	726	954
432	727	952
433	729	950
434	730	948
435	731	946
436	733	944
437	734	942
438	736	940
439	737	938
440	738	936
441	740	934
442	741	932
443	743	930
444	744	928
445	746	926
446	747	924
447	749	922
448	750	921
449	752	919
450	753	917
451	754	915
452	756	914
453	758	912
454	760	910
455	761	908
456	763	906
457	764	904
458	765	902
459	767	901
460	769	899
461	770	897
462	772	895
463	773	893
464	774	891
465	776	889
466	777	887
467	779	885
468	780	883
469	781	881
470	783	880
471	785	878
472	786	876
473	788	874
474	789	872
475	790	870
476	792	868
477	793	867
478	795	865
479	797	863
480	798	861
481	800	859
482	801	858
483	803	856
484	804	854
485	805	852
486	807	850
487	809	848
488	810	847
489	812	845
490	814	844
491	815	842
492	817	840
493	819	839
494	820	837
495	822	835
496	824	834
497	825	832
498	826	829
499	828	828
500	829	826
501	831	824
502	832	822
503	833	820
504	834	818
505	836	816
506	837	814
507	839	812
508	840	810
509	841	808
510	843	807
511	844	805
512	846	803
513	847	801
514	848	799
515	849	797
516	851	795
517	853	794
518	854	792
519	856	790
520	858	789
521	859	787
522	861	785
523	862	783
524	863	781
525	864	779
526	866	777
527	867	775
528	869	774
529	870	772
530	872	770
531	874	769
532	876	767
533	877	766
534	879	764
535	880	762
536	882	761
537	884	759
538	885	757
539	887	755
540	888	753
541	890	752
542	891	750
543	893	748
544	894	746
545	896	745
546	898	744
547	900	742
548	901	740
549	903	739
550	904	737
551	906	735
552	908	733
553	909	732
554	910	730
555	912	728
556	913	726
557	915	724
558	916	723
559	917	721
560	919	719
561	921	717
562	922	716
563	923	714
564	925	712
565	927	710
566	928	709
567	930	707
568	931	705
569	932	703
570	934	701
571	935	699
572	936	698
573	938	696
574	939	694
575	941	692
576	943	691
577	944	689
578	945	687
579	946	685
580	948	683
581	949	682
582	951	680
583	952	678
584	953	676
585	954	674
586	956	672
587	957	670
588	958	669
589	959	667
590	961	665
591	962	663
592	963	661
593	964	659
594	966	657
595	967	655
596	968	653
597	969	652
598	971	650
599	972	648
600	974	646
601	975	644
602	976	643
603	978	641
604	979	639
605	981	638
606	982	636
607	983	634
608	985	632
609	986	630
610	988	629
611	989	627
612	991	625
613	992	624
614	994	622
615	995	620
616	996	618
617	997	616
618	999	614
619	1000	613
620	1001	611
621	1003	609
622	1004	608
623	1006	606
624	1007	604
625	1009	603
626	1010	601
627	1012	599
628	1013	597
629	1015	596
630	1016	594
631	1018	592
